amount,is_fraud,city,merchant_category,device_type,account_age_days,is_new_account,hour,hour_bucket,amount_tier
89.17,0.0,Bangalore,Food & Dining,iOS,170,0,0,Late Night (11PM–6AM),Micro (< ₹500)
7.53,0.0,Mumbai,Entertainment,iOS,60,0,0,Late Night (11PM–6AM),Micro (< ₹500)
200.01,0.0,Mumbai,Groceries,iOS,600,0,0,Late Night (11PM–6AM),Micro (< ₹500)
0.76,0.0,Hyderabad,Healthcare,iOS,1155,0,0,Late Night (11PM–6AM),Micro (< ₹500)
20.22,0.0,Hyderabad,Food & Dining,iOS,13,1,0,Late Night (11PM–6AM),Micro (< ₹500)
10.84,0.0,Pune,Utilities,Android,1163,0,0,Late Night (11PM–6AM),Micro (< ₹500)
1142.02,0.0,Delhi,Shopping,Android,313,0,0,Late Night (11PM–6AM),Small (₹500–5K)
149.9,0.0,Bangalore,Education,Android,1221,0,0,Late Night (11PM–6AM),Micro (< ₹500)
89.4,0.0,Hyderabad,Utilities,Android,449,0,0,Late Night (11PM–6AM),Micro (< ₹500)
26.72,0.0,Chennai,Education,Android,226,0,0,Late Night (11PM–6AM),Micro (< ₹500)
5.99,0.0,Delhi,Healthcare,Android,1655,0,0,Late Night (11PM–6AM),Micro (< ₹500)
34.7,0.0,Chennai,Entertainment,Android,1824,0,0,Late Night (11PM–6AM),Micro (< ₹500)
54.99,0.0,Delhi,Groceries,Android,1293,0,0,Late Night (11PM–6AM),Micro (< ₹500)
7.55,0.0,Delhi,Entertainment,iOS,785,0,0,Late Night (11PM–6AM),Micro (< ₹500)
19.85,0.0,Delhi,Groceries,Android,1602,0,0,Late Night (11PM–6AM),Micro (< ₹500)
28.28,0.0,Bangalore,Food & Dining,Android,917,0,0,Late Night (11PM–6AM),Micro (< ₹500)
15.99,0.0,Bangalore,Education,Android,213,0,0,Late Night (11PM–6AM),Micro (< ₹500)
2.69,0.0,Bangalore,Groceries,Android,950,0,0,Late Night (11PM–6AM),Micro (< ₹500)
22.36,0.0,Hyderabad,Entertainment,Web,1787,0,0,Late Night (11PM–6AM),Micro (< ₹500)
0.78,0.0,Mumbai,Groceries,iOS,1423,0,0,Late Night (11PM–6AM),Micro (< ₹500)
168.56,0.0,Delhi,Healthcare,Android,399,0,0,Late Night (11PM–6AM),Micro (< ₹500)
0.76,0.0,Pune,Food & Dining,Android,1389,0,0,Late Night (11PM–6AM),Micro (< ₹500)
9.47,0.0,Mumbai,Healthcare,Android,1391,0,0,Late Night (11PM–6AM),Micro (< ₹500)
21.8,0.0,Mumbai,Travel,iOS,1289,0,0,Late Night (11PM–6AM),Micro (< ₹500)
14.48,0.0,Chennai,Entertainment,Web,76,0,0,Late Night (11PM–6AM),Micro (< ₹500)
1.0,0.0,Mumbai,Utilities,Android,583,0,0,Late Night (11PM–6AM),Micro (< ₹500)
1.0,0.0,Bangalore,Utilities,iOS,600,0,0,Late Night (11PM–6AM),Micro (< ₹500)
70.6,0.0,Mumbai,Food & Dining,Android,1813,0,0,Late Night (11PM–6AM),Micro (< ₹500)
19.77,0.0,Bangalore,Healthcare,Android,905,0,0,Late Night (11PM–6AM),Micro (< ₹500)
1.18,0.0,Kolkata,Healthcare,Android,992,0,0,Late Night (11PM–6AM),Micro (< ₹500)
1.18,0.0,Chennai,Healthcare,Android,1602,0,0,Late Night (11PM–6AM),Micro (< ₹500)
1.18,0.0,Hyderabad,Healthcare,Android,1607,0,0,Late Night (11PM–6AM),Micro (< ₹500)
1.18,0.0,Pune,Travel,Android,1282,0,0,Late Night (11PM–6AM),Micro (< ₹500)
81.13,0.0,Chennai,Groceries,iOS,1336,0,0,Late Night (11PM–6AM),Micro (< ₹500)
50.0,0.0,Bangalore,Entertainment,Web,1548,0,0,Late Night (11PM–6AM),Micro (< ₹500)
86.43,0.0,Pune,Healthcare,Android,885,0,0,Late Night (11PM–6AM),Micro (< ₹500)
11.83,0.0,Delhi,Shopping,Android,1275,0,0,Late Night (11PM–6AM),Micro (< ₹500)
49.95,0.0,Chennai,Shopping,Android,1336,0,0,Late Night (11PM–6AM),Micro (< ₹500)
9.12,0.0,Pune,Education,Android,501,0,0,Late Night (11PM–6AM),Micro (< ₹500)
104.94,0.0,Mumbai,Education,Android,1487,0,0,Late Night (11PM–6AM),Micro (< ₹500)
4.68,0.0,Bangalore,Utilities,Android,99,0,0,Late Night (11PM–6AM),Micro (< ₹500)
62.92,0.0,Mumbai,Entertainment,Android,691,0,0,Late Night (11PM–6AM),Micro (< ₹500)
18.31,0.0,Delhi,Shopping,iOS,1222,0,0,Late Night (11PM–6AM),Micro (< ₹500)
80.0,0.0,Chennai,Food & Dining,Android,1467,0,0,Late Night (11PM–6AM),Micro (< ₹500)
32.51,0.0,Pune,Entertainment,iOS,839,0,0,Late Night (11PM–6AM),Micro (< ₹500)
39.95,0.0,Bangalore,Utilities,Web,1291,0,0,Late Night (11PM–6AM),Micro (< ₹500)
68.74,0.0,Delhi,Education,Android,1783,0,0,Late Night (11PM–6AM),Micro (< ₹500)
79.0,0.0,Mumbai,Travel,Android,1411,0,0,Late Night (11PM–6AM),Micro (< ₹500)
5.9,0.0,Mumbai,Food & Dining,Android,1186,0,0,Late Night (11PM–6AM),Micro (< ₹500)
7.69,0.0,Bangalore,Food & Dining,iOS,991,0,0,Late Night (11PM–6AM),Micro (< ₹500)
79.91,0.0,Mumbai,Groceries,Android,853,0,0,Late Night (11PM–6AM),Micro (< ₹500)
552.18,0.0,Kolkata,Healthcare,iOS,477,0,0,Late Night (11PM–6AM),Small (₹500–5K)
67.3,0.0,Mumbai,Entertainment,Android,1683,0,0,Late Night (11PM–6AM),Micro (< ₹500)
21.97,0.0,Delhi,Groceries,Android,647,0,0,Late Night (11PM–6AM),Micro (< ₹500)
4.99,0.0,Hyderabad,Education,iOS,1419,0,0,Late Night (11PM–6AM),Micro (< ₹500)
11.99,0.0,Mumbai,Travel,Web,1277,0,0,Late Night (11PM–6AM),Micro (< ₹500)
124.67,0.0,Jaipur,Food & Dining,iOS,1475,0,0,Late Night (11PM–6AM),Micro (< ₹500)
919.6,0.0,Jaipur,Travel,Web,696,0,0,Late Night (11PM–6AM),Small (₹500–5K)
30.9,0.0,Mumbai,Groceries,Android,615,0,0,Late Night (11PM–6AM),Micro (< ₹500)
459.39,0.0,Delhi,Utilities,Android,427,0,0,Late Night (11PM–6AM),Micro (< ₹500)
37.13,0.0,Mumbai,Food & Dining,Android,1464,0,0,Late Night (11PM–6AM),Micro (< ₹500)
1.98,0.0,Mumbai,Education,Android,896,0,0,Late Night (11PM–6AM),Micro (< ₹500)
15.89,0.0,Bangalore,Shopping,iOS,1724,0,0,Late Night (11PM–6AM),Micro (< ₹500)
8.95,0.0,Hyderabad,Education,Android,1185,0,0,Late Night (11PM–6AM),Micro (< ₹500)
268.78,0.0,Delhi,Utilities,Android,28,1,0,Late Night (11PM–6AM),Micro (< ₹500)
2.99,0.0,Bangalore,Utilities,iOS,615,0,0,Late Night (11PM–6AM),Micro (< ₹500)
322.44,0.0,Mumbai,Healthcare,Android,1140,0,0,Late Night (11PM–6AM),Micro (< ₹500)
937.69,0.0,Pune,Groceries,Android,1760,0,0,Late Night (11PM–6AM),Small (₹500–5K)
69.0,0.0,Mumbai,Food & Dining,iOS,512,0,0,Late Night (11PM–6AM),Micro (< ₹500)
2.28,0.0,Bangalore,Shopping,iOS,57,0,0,Late Night (11PM–6AM),Micro (< ₹500)
7.21,0.0,Delhi,Groceries,Android,820,0,0,Late Night (11PM–6AM),Micro (< ₹500)
1.29,0.0,Jaipur,Travel,iOS,1796,0,0,Late Night (11PM–6AM),Micro (< ₹500)
17.8,0.0,Mumbai,Shopping,Android,227,0,0,Late Night (11PM–6AM),Micro (< ₹500)
14.98,0.0,Hyderabad,Groceries,Android,145,0,0,Late Night (11PM–6AM),Micro (< ₹500)
159.0,0.0,Chennai,Utilities,Android,1315,0,0,Late Night (11PM–6AM),Micro (< ₹500)
142.71,0.0,Mumbai,Food & Dining,iOS,42,0,0,Late Night (11PM–6AM),Micro (< ₹500)
84.39,0.0,Hyderabad,Shopping,Android,229,0,0,Late Night (11PM–6AM),Micro (< ₹500)
182.95,0.0,Mumbai,Education,iOS,1724,0,0,Late Night (11PM–6AM),Micro (< ₹500)
23.27,0.0,Hyderabad,Shopping,Android,1456,0,0,Late Night (11PM–6AM),Micro (< ₹500)
9.99,0.0,Hyderabad,Utilities,iOS,1600,0,0,Late Night (11PM–6AM),Micro (< ₹500)
4.19,0.0,Delhi,Groceries,Android,145,0,0,Late Night (11PM–6AM),Micro (< ₹500)
3828.04,0.0,Bangalore,Travel,Android,354,0,0,Late Night (11PM–6AM),Small (₹500–5K)
35.97,0.0,Pune,Groceries,iOS,753,0,0,Late Night (11PM–6AM),Micro (< ₹500)
1.0,0.0,Mumbai,Shopping,iOS,1224,0,0,Late Night (11PM–6AM),Micro (< ₹500)
24.57,0.0,Bangalore,Healthcare,iOS,903,0,0,Late Night (11PM–6AM),Micro (< ₹500)
1.0,0.0,Bangalore,Groceries,Android,1089,0,0,Late Night (11PM–6AM),Micro (< ₹500)
148.43,0.0,Delhi,Groceries,Android,1152,0,0,Late Night (11PM–6AM),Micro (< ₹500)
25.8,0.0,Hyderabad,Groceries,Android,1588,0,0,Late Night (11PM–6AM),Micro (< ₹500)
110.4,0.0,Bangalore,Shopping,Android,232,0,0,Late Night (11PM–6AM),Micro (< ₹500)
13.95,0.0,Delhi,Entertainment,iOS,425,0,0,Late Night (11PM–6AM),Micro (< ₹500)
9.99,0.0,Mumbai,Utilities,Web,884,0,0,Late Night (11PM–6AM),Micro (< ₹500)
937.69,0.0,Hyderabad,Entertainment,Android,912,0,0,Late Night (11PM–6AM),Small (₹500–5K)
54.99,0.0,Bangalore,Utilities,iOS,242,0,0,Late Night (11PM–6AM),Micro (< ₹500)
31.17,0.0,Hyderabad,Utilities,iOS,1218,0,0,Late Night (11PM–6AM),Micro (< ₹500)
23.88,0.0,Mumbai,Entertainment,Web,244,0,0,Late Night (11PM–6AM),Micro (< ₹500)
4.49,0.0,Kolkata,Education,iOS,712,0,0,Late Night (11PM–6AM),Micro (< ₹500)
137.0,0.0,Bangalore,Travel,Android,1622,0,0,Late Night (11PM–6AM),Micro (< ₹500)
37.89,0.0,Mumbai,Travel,Android,890,0,0,Late Night (11PM–6AM),Micro (< ₹500)
82.29,0.0,Bangalore,Utilities,Android,1208,0,0,Late Night (11PM–6AM),Micro (< ₹500)
2.69,0.0,Kolkata,Education,Android,795,0,0,Late Night (11PM–6AM),Micro (< ₹500)
20.0,0.0,Pune,Education,iOS,1042,0,0,Late Night (11PM–6AM),Micro (< ₹500)
29.99,0.0,Mumbai,Entertainment,Android,319,0,0,Late Night (11PM–6AM),Micro (< ₹500)
40.0,0.0,Hyderabad,Shopping,Android,80,0,0,Late Night (11PM–6AM),Micro (< ₹500)
160.86,0.0,Chennai,Utilities,Web,883,0,0,Late Night (11PM–6AM),Micro (< ₹500)
8.93,0.0,Delhi,Healthcare,iOS,922,0,0,Late Night (11PM–6AM),Micro (< ₹500)
6.24,0.0,Delhi,Utilities,iOS,1430,0,0,Late Night (11PM–6AM),Micro (< ₹500)
230.0,0.0,Mumbai,Food & Dining,Android,769,0,0,Late Night (11PM–6AM),Micro (< ₹500)
43.71,0.0,Bangalore,Travel,Android,224,0,0,Late Night (11PM–6AM),Micro (< ₹500)
165.55,0.0,Pune,Entertainment,Android,1454,0,0,Late Night (11PM–6AM),Micro (< ₹500)
113.0,0.0,Pune,Shopping,iOS,539,0,0,Late Night (11PM–6AM),Micro (< ₹500)
1.54,0.0,Hyderabad,Healthcare,Android,684,0,0,Late Night (11PM–6AM),Micro (< ₹500)
10.0,0.0,Mumbai,Education,Android,1022,0,0,Late Night (11PM–6AM),Micro (< ₹500)
8.8,0.0,Mumbai,Shopping,iOS,83,0,0,Late Night (11PM–6AM),Micro (< ₹500)
5.97,0.0,Hyderabad,Healthcare,Android,1057,0,0,Late Night (11PM–6AM),Micro (< ₹500)
15.93,0.0,Pune,Utilities,Android,1149,0,0,Late Night (11PM–6AM),Micro (< ₹500)
10.0,0.0,Pune,Groceries,iOS,694,0,0,Late Night (11PM–6AM),Micro (< ₹500)
3.87,0.0,Chennai,Groceries,Android,153,0,0,Late Night (11PM–6AM),Micro (< ₹500)
10.0,0.0,Hyderabad,Shopping,Web,6,1,0,Late Night (11PM–6AM),Micro (< ₹500)
35.97,0.0,Bangalore,Shopping,Android,1456,0,0,Late Night (11PM–6AM),Micro (< ₹500)
22.37,0.0,Bangalore,Utilities,Android,767,0,0,Late Night (11PM–6AM),Micro (< ₹500)
4.57,0.0,Pune,Travel,Android,252,0,0,Late Night (11PM–6AM),Micro (< ₹500)
23.57,0.0,Hyderabad,Food & Dining,Android,93,0,0,Late Night (11PM–6AM),Micro (< ₹500)
13.99,0.0,Bangalore,Travel,iOS,60,0,0,Late Night (11PM–6AM),Micro (< ₹500)
226.07,0.0,Bangalore,Travel,Web,1470,0,0,Late Night (11PM–6AM),Micro (< ₹500)
148.81,0.0,Hyderabad,Food & Dining,Web,1551,0,0,Late Night (11PM–6AM),Micro (< ₹500)
58.0,0.0,Bangalore,Groceries,Android,460,0,0,Late Night (11PM–6AM),Micro (< ₹500)
1.29,0.0,Bangalore,Utilities,Android,955,0,0,Late Night (11PM–6AM),Micro (< ₹500)
65.0,0.0,Delhi,Travel,Android,294,0,0,Late Night (11PM–6AM),Micro (< ₹500)
11.0,0.0,Hyderabad,Entertainment,Android,1423,0,0,Late Night (11PM–6AM),Micro (< ₹500)
257.3,0.0,Hyderabad,Entertainment,Android,1183,0,0,Late Night (11PM–6AM),Micro (< ₹500)
169.0,0.0,Mumbai,Food & Dining,Android,1138,0,0,Late Night (11PM–6AM),Micro (< ₹500)
9.9,0.0,Hyderabad,Entertainment,Android,705,0,0,Late Night (11PM–6AM),Micro (< ₹500)
9.99,0.0,Mumbai,Groceries,Android,1428,0,0,Late Night (11PM–6AM),Micro (< ₹500)
4.9,0.0,Mumbai,Utilities,iOS,1437,0,0,Late Night (11PM–6AM),Micro (< ₹500)
39.95,0.0,Chennai,Shopping,iOS,843,0,0,Late Night (11PM–6AM),Micro (< ₹500)
15.36,0.0,Hyderabad,Groceries,Android,1022,0,0,Late Night (11PM–6AM),Micro (< ₹500)
9.9,0.0,Pune,Utilities,Android,457,0,0,Late Night (11PM–6AM),Micro (< ₹500)
6.0,0.0,Hyderabad,Food & Dining,Android,656,0,0,Late Night (11PM–6AM),Micro (< ₹500)
6.0,0.0,Delhi,Shopping,Android,1488,0,0,Late Night (11PM–6AM),Micro (< ₹500)
6.74,0.0,Bangalore,Entertainment,Android,695,0,0,Late Night (11PM–6AM),Micro (< ₹500)
6.74,0.0,Mumbai,Travel,iOS,1299,0,0,Late Night (11PM–6AM),Micro (< ₹500)
170.43,0.0,Mumbai,Education,iOS,562,0,0,Late Night (11PM–6AM),Micro (< ₹500)
0.89,0.0,Mumbai,Groceries,iOS,1570,0,0,Late Night (11PM–6AM),Micro (< ₹500)
0.89,0.0,Jaipur,Entertainment,Android,1728,0,0,Late Night (11PM–6AM),Micro (< ₹500)
614.87,0.0,Mumbai,Utilities,Android,1639,0,0,Late Night (11PM–6AM),Small (₹500–5K)
22.99,0.0,Pune,Utilities,Android,1176,0,0,Late Night (11PM–6AM),Micro (< ₹500)
71.26,0.0,Hyderabad,Education,Web,1393,0,0,Late Night (11PM–6AM),Micro (< ₹500)
127.69,0.0,Chennai,Groceries,iOS,800,0,0,Late Night (11PM–6AM),Micro (< ₹500)
1.98,0.0,Delhi,Food & Dining,Android,633,0,0,Late Night (11PM–6AM),Micro (< ₹500)
6.45,0.0,Delhi,Travel,iOS,141,0,0,Late Night (11PM–6AM),Micro (< ₹500)
1.29,0.0,Delhi,Travel,Android,87,0,0,Late Night (11PM–6AM),Micro (< ₹500)
184.31,0.0,Bangalore,Shopping,Android,1532,0,0,Late Night (11PM–6AM),Micro (< ₹500)
500.0,0.0,Hyderabad,Groceries,iOS,268,0,0,Late Night (11PM–6AM),Small (₹500–5K)
10.0,0.0,Mumbai,Shopping,Android,1598,0,0,Late Night (11PM–6AM),Micro (< ₹500)
1.79,0.0,Bangalore,Utilities,Android,998,0,0,Late Night (11PM–6AM),Micro (< ₹500)
10.0,0.0,Hyderabad,Food & Dining,Android,1560,0,0,Late Night (11PM–6AM),Micro (< ₹500)
20.0,0.0,Bangalore,Education,Android,280,0,0,Late Night (11PM–6AM),Micro (< ₹500)
700.0,0.0,Kolkata,Utilities,iOS,1758,0,0,Late Night (11PM–6AM),Small (₹500–5K)
22.0,0.0,Kolkata,Healthcare,iOS,209,0,0,Late Night (11PM–6AM),Micro (< ₹500)
2.28,0.0,Kolkata,Groceries,iOS,527,0,0,Late Night (11PM–6AM),Micro (< ₹500)
65.26,0.0,Mumbai,Travel,Android,996,0,0,Late Night (11PM–6AM),Micro (< ₹500)
0.99,0.0,Bangalore,Travel,iOS,178,0,0,Late Night (11PM–6AM),Micro (< ₹500)
1.0,0.0,Kolkata,Utilities,Android,600,0,0,Late Night (11PM–6AM),Micro (< ₹500)
44.2,0.0,Delhi,Education,Android,352,0,0,Late Night (11PM–6AM),Micro (< ₹500)
5.42,0.0,Jaipur,Travel,Android,1219,0,0,Late Night (11PM–6AM),Micro (< ₹500)
42.9,0.0,Jaipur,Groceries,Android,509,0,0,Late Night (11PM–6AM),Micro (< ₹500)
355.51,0.0,Pune,Education,Android,372,0,0,Late Night (11PM–6AM),Micro (< ₹500)
0.89,0.0,Mumbai,Groceries,Android,685,0,0,Late Night (11PM–6AM),Micro (< ₹500)
71.69,0.0,Mumbai,Shopping,Android,961,0,0,Late Night (11PM–6AM),Micro (< ₹500)
2.29,0.0,Pune,Travel,Android,1044,0,0,Late Night (11PM–6AM),Micro (< ₹500)
1.29,0.0,Mumbai,Shopping,Android,1301,0,0,Late Night (11PM–6AM),Micro (< ₹500)
27.99,0.0,Bangalore,Entertainment,Android,1420,0,0,Late Night (11PM–6AM),Micro (< ₹500)
23.63,0.0,Delhi,Education,Android,760,0,0,Late Night (11PM–6AM),Micro (< ₹500)
48.0,0.0,Kolkata,Food & Dining,Android,100,0,0,Late Night (11PM–6AM),Micro (< ₹500)
318.5,0.0,Hyderabad,Food & Dining,Web,364,0,0,Late Night (11PM–6AM),Micro (< ₹500)
6.47,0.0,Delhi,Travel,Android,1621,0,0,Late Night (11PM–6AM),Micro (< ₹500)
224.97,0.0,Bangalore,Groceries,Web,1619,0,0,Late Night (11PM–6AM),Micro (< ₹500)
75.83,0.0,Hyderabad,Food & Dining,Android,403,0,0,Late Night (11PM–6AM),Micro (< ₹500)
1.98,0.0,Jaipur,Healthcare,Android,1381,0,0,Late Night (11PM–6AM),Micro (< ₹500)
1.98,0.0,Bangalore,Entertainment,iOS,258,0,0,Late Night (11PM–6AM),Micro (< ₹500)
4.65,0.0,Delhi,Groceries,iOS,801,0,0,Late Night (11PM–6AM),Micro (< ₹500)
